name,role,skin_type,power_level,weight,height,age,eye_color,gender,hair_color,speed,universe,body_type,job,battle_iq,species,ranking,intelligence,abilities,training_time,special_attack,secret_code,win_prob
Kid Omega,Hero,Luminescent,12661.0,68,165.0,139.0,Glowing,,Black,719.0,Marvel,Fat,Demon Lord,954.0,Human,4062.0,900.0,Super Strength,7129.0,Electric Storm,,0.56
Katana,Hero,Transparent,5425.0,,171.0,145.0,Yellow,1.0,Blonde,699.0,Marvel,Giant,Assassin,83.0,Alien,2960.0,93.0,Teleportation,2705.0,Grass Surge,,0.35
Valiant Mage,H3ro,Luminescent,13158.0,65,185.0,74.0,Glowing,1.0,Gold,1455.0,Marvel Comics,Fat,Arcanist,1257.0,Human,2362.0,1143.0,Super Strength,8788.0,Eternal Firewave,11111.0,0.55
Machine Man,H3ro,Steel,2830.0,106,149.0,46.0,Black,1.0,Bald,2203.0,Marvel,Athletic,Leader,522.0,Kryptonian,4565.0,522.0,Teleportation,,Water Vortex,11000.0,0.73
Spectrum,H3ro,Normal,1195.0,109,184.0,137.0,,,Gold,,Marvel Comics,Normal,Mage,1288.0,Alien,333.0,1171.0,Super Speed,615.0,Water Gun,10000.0,0.41
Kenshiro,Hero,Metallic,1327.0,79,224.0,72.0,Green,1.0,Silver,1414.0,Marvel Comics,Athletic,Brewer,915.0,Alien,674.0,,Super Strength,947.0,Water Gun,10011.0,0.54
Lady Blackhawk,Hero,Scaly,10547.0,80,183.0,58.0,,0.0,Bald,1786.0,Marvel,Regular,Leader,528.0,Human,2688.0,528.0,Flying,5677.0,Electric Storm,10001.0,0.49
Johnny Quick,Hero,Steel,5990.0,50,153.0,84.0,Black,0.0,Purple,1207.0,Marvel Comics,Slim,Assassin,1243.0,Undead,4045.0,1130.0,Time Manipulation,,Water Fury,11000.0,0.66
Divine Knight,H3ro,Steel,10461.0,106,204.0,32.0,Black,,Green,3147.0,Marvel Comics,Giant,Scientist,613.0,Kryptonian,948.0,,Super Strength,7866.0,Water Vortex,11000.0,0.77
Shang-Chi,Hero,Normal,2995.0,65,167.0,40.0,Brown,2.0,Gold,2510.0,Marvel Comics,Athletic,God,1268.0,Human,3153.0,1153.0,Teleportation,2013.0,Electric Surge,10000.0,0.56
Doctor Mid-Nite,Hero,Hairy,6848.0,50,136.0,72.0,,1.0,Purple,1410.0,Marvel,Slim,Arcanist,1219.0,Undead,2324.0,1109.0,Mind Reading,3697.0,Electric Nova,,14.0
Saitama,Hero,Transparent,1093.0,78,190.0,38.0,,2.0,Bald,2671.0,Marvel,Fat,Saviors,519.0,Human,3744.0,519.0,Teleportation,,Electric Storm,10111.0,0.56
Valiant Templar,Hero,Metallic,15966.0,83,175.0,91.0,,1.0,None,,Marvel,Fat,Demon Lord,1136.0,Undead,1517.0,1033.0,Flying,8874.0,Grass Tempest,10011.0,0.52
Rocket,Hero,Metallic,7747.0,98,205.0,76.0,Green,2.0,Bald,,Marvel,Athletic,Scientist,522.0,Kryptonian,4919.0,522.0,Super Speed,4350.0,Grass Surge,,0.48
Ethereal Knight,Hero,Draconish,3664.0,107,172.0,44.0,White,,Gold,,Marvel,Giant,Demon Lord,1254.0,Kryptonian,2556.0,1140.0,Super Strength,,Water Gun,10101.0,0.87
Namor,Hero,Wooden,9628.0,107,215.0,50.0,,1.0,Pink,2011.0,Marvel,Giant,Brewer,1010.0,,3637.0,936.0,Mind Reading,4987.0,Electric Surge,11010.0,0.8
Holographic Cyborg,H3ro,Hairy,11070.0,69,193.0,100.0,Blood,,Pink,1002.0,Marvel,Slim,Scientist,1023.0,Human,1851.0,948.0,Time Manipulation,8733.0,Electric Surge,,0.67
Augmented Shadowcaster,H3ro,Normal,13307.0,50,176.0,42.0,,1.0,None,2387.0,Marvel,Regular,Warrior,1164.0,Undead,4538.0,1059.0,Teleportation,9479.0,Fire Fist,10000.0,0.51
Ice,Hero,Hairy,16381.0,61,154.0,51.0,Blood,2.0,Black,2002.0,Marvel Comics,Regular,Saviors,986.0,Undead,3337.0,913.0,Super Strength,9825.0,Grass blade,,0.85
Static Shock,Hero,Transparent,9252.0,101,145.0,93.0,,1.0,White,1147.0,Marvel Comics,Athletic,Mage,744.0,Kryptonian,2381.0,716.0,Flying,4920.0,Water Vortex,,0.58
Brave Crusader,HerO,Metallic,4683.0,582,817.0,29.0,,2.0,Black,3589.0,Marvel,Giant,Hero,943.0,Giant,3506.0,890.0,Mind Reading,2926.0,Water Vortex,,0.71
Rockslide,Hero,Luminescent,14851.0,82,149.0,73.0,,2.0,None,,Marvel Comics,Slim,Hero,1146.0,Undead,1547.0,1042.0,Time Manipulation,9544.0,Grass Tempest,11111.0,0.67
Jojo,Hero,Steel,11473.0,535,774.0,71.0,,0.0,Gold,1445.0,Marvel,Regular,Captain,1249.0,Giant,571.0,1136.0,Super Speed,7282.0,Grass blade,11000.0,0.62
Digital Technomancer,Hero,Normal,8707.0,118,191.0,133.0,Brown,0.0,Green,,Marvel,Athletic,Brewer,589.0,Kryptonian,3897.0,589.0,Super Strength,4376.0,Eternal Firewave,,0.23
Plastic Man,Hero,Hairy,13740.0,52,170.0,33.0,,2.0,Fire-like,3083.0,Marvel,Fat,God,1305.0,Undead,3011.0,1187.0,Flying,9490.0,Grass Surge,10010.0,0.88
Wasp,Hero,Scaly,6783.0,91,199.0,129.0,Blue,1.0,Blonde,,Marvel Comics,Giant,Leader,115.0,Saiyan,1469.0,126.0,Super Speed,4868.0,Electric Surge,10001.0,0.33
Radiant Mage,Hero,Wooden,10973.0,543,783.0,72.0,Pink,0.0,Gold,1446.0,Marvel Comics,Giant,Captain,1265.0,Giant,105.0,1150.0,Teleportation,6986.0,Eternal Firewave,11010.0,0.64
Pixelated Cyborg,Hero,Luminescent,14063.0,92,155.0,98.0,,2.0,Purple,1074.0,Marvel Comics,Muscular,Brewer,1205.0,Kryptonian,4028.0,1096.0,Mind Reading,6862.0,Eternal Firewave,11111.0,0.54
Arcane Crusader,Hero,Hairy,6519.0,64,165.0,41.0,Blood,0.0,Black,2445.0,Marvel,Regular,Brewer,976.0,Undead,862.0,,Super Strength,4423.0,Fire Fist,,0.63
The Question,Hero,Metallic,10820.0,100,190.0,49.0,Green,2.0,Bald,2121.0,Marvel,Giant,Hero,560.0,Alien,3248.0,560.0,Mind Reading,6870.0,Eternal Firewave,10011.0,0.54
Havok,Hero,Luminescent,10336.0,50,151.0,23.0,Glowing,2.0,Fire-like,4354.0,Marvel,Regular,Cult Leader,1320.0,Undead,3589.0,1200.0,Time Manipulation,8159.0,Grass blade,11111.0,0.73
Iron Man,H3ro,Steel,3334.0,89,167.0,78.0,Black,,White,1342.0,Marvel Comics,Muscular,Drunken,698.0,Alien,4282.0,685.0,Super Strength,2073.0,Grass blade,11000.0,0.58
Holographic Hacker,Hero,Scaly,10639.0,95,216.0,27.0,,0.0,Green,,Marvel Comics,Normal,Saviors,615.0,Alien,697.0,603.0,Time Manipulation,6170.0,Grass Surge,,0.5
Radiant Spellblade,Hero,Metallic,1002.0,88,163.0,31.0,Green,,Bald,,Marvel,Slim,Scientist,531.0,Undead,977.0,531.0,Teleportation,701.0,Eternal Firewave,10011.0,0.36
Inuyasha,HerO,Hairy,16146.0,620,796.0,138.0,Blood,1.0,Black,841.0,Marvel Comics,Regular,Captain,951.0,Giant,1175.0,898.0,Teleportation,8113.0,Water Gun,10010.0,0.81
Kenshiro,Hero,Metallic,1327.0,79,224.0,72.0,Green,1.0,Silver,1414.0,Marvel Comics,Athletic,Brewer,915.0,Alien,674.0,,Super Strength,947.0,Water Gun,10011.0,0.54
Obanai Iguro,Hero,Draconish,11671.0,50,159.0,53.0,White,0.0,Gold,1997.0,Marvel Comics,Slim,Thief,1265.0,Undead,3235.0,1150.0,Mind Reading,6825.0,Grass Surge,,0.72
Tengen Uzui,HerO,Draconish,11849.0,91,229.0,101.0,White,1.0,Pink,1075.0,Marvel Comics,Athletic,Demon Lord,1028.0,Saiyan,3282.0,,Mind Reading,7867.0,Water Gun,10101.0,0.75
Gallant Mage,HerO,Hairy,7353.0,94,212.0,117.0,,1.0,Brown,890.0,Marvel Comics,Giant,Saviors,902.0,Alien,4838.0,851.0,Super Strength,4264.0,Grass blade,,0.6
Mystic Knight,Hero,Hairy,14246.0,,161.0,146.0,Blood,0.0,Silver,,Marvel,Athletic,Brewer,988.0,Kryptonian,834.0,915.0,Flying,7968.0,Grass blade,,0.63
Moon Knight,Hero,Stone,9902.0,122,200.0,94.0,,0.0,Blonde,1099.0,Marvel Comics,Athletic,Brewer,81.0,Kryptonian,1383.0,90.0,Super Speed,8146.0,Water Vortex,10010.0,0.54
Kamina,Hero,Scaly,13428.0,77,156.0,124.0,Blue,2.0,Gold,908.0,Marvel Comics,Normal,Saviors,1268.0,Human,531.0,1153.0,Mind Reading,7776.0,Electric Surge,,0.54
Shinra Kusakabe,H3ro,Transparent,17344.0,700,729.0,68.0,Yellow,0.0,Green,1496.0,Marvel,Regular,Assassin,592.0,Giant,2980.0,592.0,Flying,8558.0,Grass blade,10111.0,0.57
Wolverine,H3ro,Stone,12552.0,101,223.0,98.0,,0.0,Silver,1196.0,Marvel,Athletic,Assassin,1036.0,Saiyan,1631.0,960.0,Super Strength,8719.0,Electric Nova,,0.55
Wiccan,Hero,Scaly,7357.0,70,,112.0,,2.0,Pink,,Marvel,Normal,Captain,1010.0,Alien,2775.0,936.0,Teleportation,,Electric Storm,,0.46
Psylocke,Hero,Hairy,6137.0,91,169.0,37.0,Blood,2.0,Fire-like,2770.0,Marvel Comics,Athletic,God,1311.0,Saiyan,1641.0,1192.0,Mind Reading,,Eternal Firewave,,0.74
Shazam,Hero,Hairy,8729.0,54,171.0,115.0,,1.0,Green,885.0,Marvel,Normal,Thief,620.0,Human,4874.0,608.0,Super Speed,4619.0,Electric Storm,10010.0,0.61
Chivalrous Knight,Hero,Normal,7151.0,68,218.0,57.0,Brown,0.0,Silver,1761.0,Marvel,Giant,Arcanist,944.0,Alien,3312.0,891.0,Flying,5191.0,Grass Surge,,0.44
Gallant Sorcerer,Hero,Scaly,12246.0,72,261.0,106.0,,,Fire-like,1039.0,Marvel Comics,Normal,Brewer,1320.0,Alien,1006.0,1200.0,Super Speed,6875.0,Water Fury,10001.0,0.6
Mystic Crusader,Hero,Hairy,12247.0,537,783.0,107.0,,,Fire-like,943.0,Marvel Comics,Regular,God,1320.0,Giant,1908.0,1200.0,Super Speed,7856.0,Grass Tempest,10010.0,0.72
Neji Hyuga,H3ro,Hairy,11961.0,116,160.0,69.0,,2.0,Fire-like,,Marvel,Athletic,Drunken,1314.0,Kryptonian,3480.0,1195.0,Flying,5401.0,Grass Surge,10010.0,0.8
Rockslide,Hero,Luminescent,14851.0,82,149.0,73.0,,2.0,None,,Marvel Comics,Slim,Hero,1146.0,Undead,1547.0,1042.0,Time Manipulation,9544.0,Grass Tempest,11111.0,0.67
Shizuo Heiwajima,Hero,Metallic,4786.0,618,865.0,27.0,Green,2.0,None,3737.0,Marvel Comics,Regular,Thief,1137.0,Giant,4089.0,1034.0,Super Speed,3022.0,Grass Surge,,0.6
Iceman,Hero,Luminescent,6517.0,51,207.0,88.0,Glowing,1.0,White,,Marvel Comics,Giant,Saviors,697.0,Alien,2282.0,684.0,Flying,5738.0,Grass Tempest,11111.0,0.48
Mister Fantastic,HerO,Wooden,11019.0,72,181.0,140.0,,1.0,White,831.0,Marvel Comics,Athletic,Warrior,704.0,Human,4768.0,691.0,Teleportation,5984.0,Grass Tempest,,0.65
Kazuto Kirigaya,HerO,Draconish,3155.0,50,133.0,83.0,White,0.0,Gold,1251.0,Marvel Comics,Slim,Demon Lord,1260.0,Undead,4864.0,1146.0,Flying,1770.0,Grass blade,,0.54
Techno Shadowcaster,HerO,Metallic,16912.0,115,211.0,140.0,,2.0,Green,,Marvel,Normal,Arcanist,591.0,Alien,2237.0,591.0,Mind Reading,9969.0,Eternal Firewave,10011.0,0.46
Mystic Templar,HerO,Hairy,18146.0,620,817.0,84.0,Blood,,None,,Marvel Comics,Giant,Saviors,1151.0,Giant,3279.0,1047.0,Super Speed,8989.0,Electric Surge,,0.82
Zauriel,Hero,Stone,4034.0,50,164.0,126.0,,2.0,None,816.0,Marvel Comics,Fat,Mage,1130.0,Undead,2918.0,1028.0,Super Strength,3215.0,Grass Tempest,10010.0,0.53
Mockingbird,HerO,Steel,9421.0,64,145.0,119.0,Black,0.0,Bald,,Marvel Comics,Slim,Drunken,564.0,Undead,3898.0,564.0,Mind Reading,6694.0,Fire Fist,,0.42
Valiant Cleric,H3ro,Scaly,4906.0,88,177.0,101.0,Blue,0.0,Purple,,Marvel,Regular,God,1225.0,Human,4942.0,1114.0,Time Manipulation,2976.0,Electric Nova,,0.37
Vash the Stampede,Hero,Normal,6269.0,58,179.0,70.0,Brown,1.0,Black,1568.0,Marvel Comics,Athletic,Scientist,945.0,Human,3314.0,892.0,Super Strength,3737.0,Water Fury,10000.0,0.53
Augmented Overclock,Hero,Transparent,15807.0,70,195.0,102.0,Yellow,2.0,Pink,1092.0,Marvel Comics,Giant,Scientist,1013.0,Saiyan,3970.0,938.0,Super Strength,9903.0,Electric Surge,,0.6
Black Canary,HerO,Stone,,692,758.0,131.0,,2.0,None,783.0,Marvel Comics,Giant,Captain,1158.0,Giant,4190.0,,Time Manipulation,,Grass Tempest,10010.0,0.5
Raven,Hero,Scaly,2162.0,128,216.0,75.0,Blue,0.0,Pink,1398.0,Marvel Comics,Muscular,Drunken,1046.0,Alien,2285.0,969.0,Mind Reading,1392.0,Grass blade,,0.36
Firestar,HerO,Hairy,14737.0,72,197.0,79.0,Blood,,Gold,,Marvel,Fat,Leader,1296.0,Undead,1208.0,1179.0,Time Manipulation,6789.0,Electric Surge,10010.0,0.75
Hulk,Hero,Stone,,67,158.0,139.0,Red,1.0,Silver,740.0,Marvel,Normal,God,924.0,Human,3725.0,872.0,Mind Reading,677.0,Fireburst Cannon,,0.37
Captain America,HerO,Transparent,,73,167.0,42.0,Yellow,1.0,Silver,,Marvel,Muscular,Drunken,993.0,Alien,886.0,920.0,Super Speed,105.0,Water Gun,10111.0,0.65
Radiant Knight,Hero,Scaly,8450.0,97,213.0,32.0,Blue,2.0,Pink,3126.0,Marvel,Muscular,Demon Lord,1023.0,Alien,1001.0,948.0,Flying,4753.0,Electric Nova,10001.0,0.62
Brave Templar,Hero,Hairy,3716.0,95,196.0,120.0,Blood,1.0,Gold,847.0,Marvel,Athletic,Saviors,1262.0,Saiyan,2054.0,1148.0,Super Strength,1946.0,Fire Fist,10010.0,10.4
Digital Cyborg,Hero,Draconish,10215.0,100,214.0,43.0,White,2.0,Silver,2362.0,Marvel,Giant,Saviors,981.0,Kryptonian,4009.0,909.0,Super Speed,5544.0,Eternal Firewave,10101.0,0.72
Bisky,H3ro,Steel,1665.0,67,210.0,127.0,,,Blonde,824.0,Marvel,Slim,God,82.0,Human,4074.0,92.0,Super Speed,,Electric Surge,11000.0,0.43
Metamorpho,Hero,Metallic,9879.0,650,757.0,30.0,Green,2.0,Fire-like,,Marvel,Regular,Hero,1320.0,Giant,1891.0,1200.0,Time Manipulation,6985.0,Water Fury,,0.79
Wolverine,H3ro,Stone,12552.0,101,223.0,98.0,,0.0,Silver,1196.0,Marvel,Athletic,Assassin,1036.0,Saiyan,1631.0,960.0,Super Strength,8719.0,Electric Nova,,0.55
Boruto Uzumaki,Hero,Transparent,3979.0,78,194.0,36.0,,1.0,Purple,,Marvel,Athletic,Cult Leader,1233.0,Kryptonian,1103.0,1121.0,Super Strength,1782.0,Fireburst Cannon,,0.52
Jack of Hearts,H3ro,Scaly,8674.0,95,199.0,44.0,Blue,2.0,Black,,Marvel,Muscular,Arcanist,987.0,Kryptonian,244.0,914.0,Super Strength,4541.0,Water Vortex,10001.0,0.72
Jiraiya,HerO,Stone,5412.0,74,168.0,113.0,Red,0.0,Bald,,Marvel Comics,Normal,Arcanist,514.0,Human,816.0,514.0,Mind Reading,3257.0,Fireburst Cannon,10010.0,0.34
Living Lightning,Hero,Wooden,12979.0,83,154.0,40.0,Pink,1.0,Pink,,Marvel Comics,Athletic,Captain,1021.0,Kryptonian,433.0,946.0,Super Speed,6213.0,Fire Fist,11010.0,0.77
Reigen Arataka,H3ro,Hairy,6193.0,53,177.0,103.0,Blood,0.0,Purple,994.0,Marvel,Fat,Hero,1178.0,Undead,559.0,1071.0,Flying,4869.0,Grass blade,10010.0,0.57
Ed,H3ro,Steel,2090.0,72,151.0,56.0,Black,1.0,Purple,1798.0,Marvel Comics,Slim,Drunken,1196.0,Human,4081.0,1088.0,Flying,1561.0,Fireburst Cannon,,0.55
Atom Smasher,H3ro,Steel,4582.0,71,175.0,61.0,,1.0,Brown,1654.0,Marvel Comics,Slim,Saviors,862.0,Human,220.0,814.0,Super Strength,4006.0,Fireburst Cannon,,0.52
Darkhawk,H3ro,Metallic,16547.0,529,807.0,120.0,,0.0,Green,,Marvel Comics,Giant,Drunken,616.0,Giant,1468.0,604.0,Time Manipulation,9867.0,Water Fury,,0.57
Obsidian,HerO,Luminescent,15701.0,101,154.0,67.0,Glowing,2.0,Fire-like,1503.0,Marvel Comics,Muscular,Hero,1320.0,Alien,3135.0,1200.0,Flying,9314.0,Electric Nova,11111.0,0.75
Krillin,H3ro,Normal,5126.0,97,191.0,122.0,,,Gold,837.0,DC Comics,Athletic,Assassin,1255.0,Saiyan,4953.0,,Time Manipulation,3981.0,Electric Storm,10000.0,0.35
Holo,Hero,Draconish,17999.0,121,,47.0,,,Green,,DC,Giant,God,592.0,Kryptonian,2679.0,592.0,Flying,9493.0,Electric Surge,10101.0,0.86
Sakura,HerO,Draconish,6729.0,62,161.0,60.0,White,2.0,Pink,1814.0,DC,Athletic,Scientist,1030.0,Saiyan,1252.0,954.0,Super Speed,5682.0,Grass Tempest,10101.0,0.7
Zatanna,H3ro,Normal,10068.0,75,177.0,118.0,Brown,0.0,Green,,DC Comics,Slim,Thief,589.0,Human,2481.0,589.0,Teleportation,5782.0,Electric Storm,10000.0,0.34
Gon,Hero,Wooden,1742.0,641,900.0,66.0,Pink,2.0,Black,1562.0,DC Comics,Giant,Hero,942.0,Giant,790.0,,Super Strength,,Fireburst Cannon,,0.63
Valiant Knight,HerO,Steel,7660.0,645,856.0,124.0,Black,0.0,Fire-like,935.0,DC Comics,Giant,Demon Lord,1305.0,Giant,627.0,1187.0,Flying,4550.0,Electric Storm,11000.0,0.56
Firebird,Hero,Steel,11592.0,,179.0,143.0,Black,0.0,Purple,776.0,DC,Normal,Hero,1205.0,Human,4260.0,1096.0,Teleportation,9137.0,Electric Nova,11000.0,0.59
Valiant Cleric,H3ro,Scaly,4906.0,88,177.0,101.0,Blue,0.0,Purple,,Marvel,Regular,God,1225.0,Human,4942.0,1114.0,Time Manipulation,2976.0,Electric Nova,,0.37
Yoko Littner,HerO,Normal,1251.0,55,175.0,32.0,,,Blonde,3169.0,DC,Regular,Saviors,81.0,Undead,4033.0,,Super Speed,600.0,Grass Tempest,10000.0,0.37
Gallant Spellblade,Hero,Metallic,9639.0,84,180.0,119.0,,2.0,None,840.0,DC,Giant,Hero,1146.0,Kryptonian,3818.0,,Teleportation,6376.0,Grass Surge,,0.5
Iron Fist,HerO,Hairy,14466.0,52,161.0,50.0,Blood,0.0,Blonde,2074.0,DC,Slim,Captain,97.0,Undead,1655.0,106.0,Flying,9609.0,Water Gun,10010.0,0.8
Pixelated Technomancer,H3ro,Transparent,2296.0,,141.0,149.0,Yellow,1.0,Purple,731.0,DC,Fat,Mage,1225.0,Human,2405.0,1114.0,Flying,,Electric Nova,10111.0,0.45
Cybernetic Crypto-Warrior,H3ro,Wooden,6983.0,120,135.0,35.0,Pink,1.0,Fire-like,2904.0,DC,Athletic,Cult Leader,1320.0,Alien,4079.0,1200.0,Mind Reading,3766.0,Electric Surge,11010.0,0.83
Tawky Tawny,Hero,Steel,,80,201.0,92.0,Black,2.0,Pink,1158.0,DC Comics,Giant,Scientist,1026.0,Saiyan,4017.0,950.0,Super Speed,250.0,Grass blade,11000.0,0.52
Digital Firewall,H3ro,Luminescent,13116.0,70,153.0,73.0,Glowing,0.0,None,1405.0,DC,Normal,Scientist,1161.0,Human,4136.0,1056.0,Time Manipulation,9736.0,Eternal Firewave,11111.0,0.5
Eren Yeager,H3ro,Transparent,,75,193.0,119.0,,2.0,Brown,901.0,DC Comics,Athletic,Captain,903.0,Saiyan,2144.0,852.0,Teleportation,78.0,Water Vortex,10111.0,0.54
Divine Cleric,Hero,Transparent,5106.0,541,810.0,128.0,,,Pink,918.0,DC,Regular,Drunken,999.0,Giant,4444.0,,Teleportation,3123.0,Electric Storm,10111.0,0.5
Techno Firewall,Hero,Metallic,17685.0,70,160.0,106.0,,2.0,Fire-like,,DC Comics,Normal,Arcanist,1315.0,Human,2815.0,1196.0,Teleportation,9089.0,Water Gun,10011.0,0.72
Rintarou Okabe,Hero,Luminescent,11644.0,92,172.0,27.0,Glowing,2.0,Green,,DC Comics,Regular,Demon Lord,596.0,Undead,4429.0,596.0,Mind Reading,7064.0,Water Fury,11111.0,0.81
Yusuke Urameshi,Hero,Steel,12116.0,50,183.0,26.0,Black,,Brown,,DC,Muscular,God,892.0,Saiyan,4478.0,842.0,Flying,8417.0,Grass Tempest,11000.0,0.77
Silver Surfer,Hero,Hairy,1493.0,547,842.0,55.0,Blood,0.0,Silver,1874.0,DC,Regular,Scientist,951.0,Giant,145.0,898.0,Super Strength,1209.0,Water Fury,10010.0,0.74
Howard the Duck,Hero,Transparent,8665.0,50,157.0,37.0,,1.0,Blonde,2774.0,DC Comics,Fat,Captain,85.0,Undead,259.0,95.0,Flying,5153.0,Electric Nova,10111.0,0.56
Katma Tui,HerO,Scaly,7612.0,100,197.0,22.0,Blue,1.0,Fire-like,4547.0,DC Comics,Athletic,Thief,1309.0,Saiyan,3526.0,1190.0,Flying,4898.0,Fire Fist,10001.0,0.5
Batman,HerO,Stone,4092.0,57,164.0,47.0,Red,1.0,White,2179.0,DC Comics,Fat,Thief,709.0,Human,976.0,696.0,Super Speed,2178.0,Water Fury,,0.73
,,,,,,,,,,,,,,,,,,,,,,
Noble Cleric,Hero,Hairy,15536.0,87,176.0,47.0,Blood,1.0,Fire-like,2183.0,DC Comics,Fat,Warrior,1291.0,Human,3688.0,1174.0,Super Speed,,Electric Nova,10010.0,0.88
Digital Hacker,Hero,Transparent,4178.0,64,198.0,73.0,Yellow,1.0,White,1401.0,DC,Athletic,Mage,685.0,Saiyan,2577.0,672.0,Super Speed,2544.0,Water Vortex,,0.58
Pixelated Glitch,H3ro,Steel,7854.0,132,200.0,84.0,Black,,Blonde,,DC Comics,Giant,Mage,90.0,Saiyan,3083.0,100.0,Super Speed,5522.0,Water Vortex,11000.0,0.66
Hyper Hacker,HerO,Steel,3592.0,54,180.0,119.0,Black,0.0,Fire-like,846.0,DC Comics,Giant,Demon Lord,1320.0,Alien,3626.0,1200.0,Time Manipulation,2370.0,Grass blade,,0.49
Etrigan the Demon,Hero,Metallic,4319.0,115,165.0,40.0,,,Pink,,DC,Giant,Arcanist,987.0,Saiyan,3766.0,914.0,Time Manipulation,3281.0,Eternal Firewave,10011.0,0.51
